seniority_level,internship,degree_requirements,programming_languages,type_of_ml,libraries_and_tools,cloud_platforms,key_responsibilities,domain
Mid-Level,False,Not mentioned,"['Python', 'SQL']","['Recommendation Systems', 'Reinforcement Learning', 'Deep Learning']","['XGboost', 'PyTorch', 'TensorFlow', 'Spark', 'Kafka', 'Kubernetes']",['Not mentioned'],"['Develop and implement scalable machine learning models focusing on advanced ranking and recommendation systems.', 'Design and conduct A/B tests to assess the performance of different machine learning models.', 'Analyze experimental data to extract actionable insights using statistical techniques.', 'Work closely with other engineering teams to integrate machine learning models into the product.']",['Finance']
Mid-Level,False,Not mentioned,['Not mentioned'],"['Natural Language Processing', 'Recommendation Systems']",['Not mentioned'],['Not mentioned'],"['Prototype and experiment with AI model quality improvements', 'Productionize and launch new AI technology integrations', 'Collaborate with cross-functional teams to deliver product features', 'Stay up-to-date with the latest AI technologies and trends']",['Software and Cloud']
Mid-Level,False,"Bachelors in Computer Science, Data Science or Statistics with 2+ years of applied AI/ML experience, or MS in Computer Science, Data Science, or a related field","['Python', 'Scala', 'Java', 'SQL']","['Predictive Modeling', 'Generative AI', 'MLOps', 'Statistical Modeling']","['scikit-learn', 'SparkML', 'TensorFlow', 'PyTorch']",['Not mentioned'],"['Develop innovative models in collaboration with Adobe Research', 'Design, develop, and deploy applications powered by predictive and generative models', 'Implement ML-Ops best practices for scalable machine learning workflows', 'Engage in the product lifecycle, including architecture, design, deployment, and production operations']","['Software and Cloud', 'Marketing']"
Mid-Level,False,"MS in Computer Science, Data Science or Statistics or PhD degree in Computer Science, Data Science, or a related field","['Python', 'Scala', 'Java', 'SQL']","['Predictive Modeling', 'Generative AI', 'MLOps', 'Statistical Modeling']","['scikit-learn', 'SparkML', 'TensorFlow', 'PyTorch']",['Not mentioned'],"['Develop innovative models in collaboration with Adobe Research', 'Design, develop, and deploy applications powered by predictive and generative models', 'Implement ML-Ops best practices for scalable machine learning workflows', 'Engage in the product lifecycle, including architecture, design, deployment, and production operations']","['Software and Cloud', 'Marketing']"
Senior,False,"M.S. or Ph.D. in Computer Science, Mathematics, or a related field",['Python'],"['Natural Language Processing', 'Deep Learning', 'Generative AI', 'Speech Recognition', 'Computer Vision']","['PyTorch', 'JAX', 'Keras', 'TensorFlow', 'Hugging Face']",['Not mentioned'],"['Explore and implement next-gen LLM technologies, focusing on retrieval-augmented generation (RAG), AI agents, and agentic workflows.', 'Fast prototype innovative concepts and create viable paths to production.', 'Conduct applied ML research and follow the systematic methodology: Establish benchmarking methods, evaluate against baselines, perform ablation studies, and deliver actionable recommendations.', 'Collaborate with system engineers, product managers, and client teams to drive productization.']",['Software and Cloud']
Mid-Level,False,Not mentioned,['Not mentioned'],"['Natural Language Processing', 'Recommendation Systems']",['Not mentioned'],['Not mentioned'],"['Prototype and experiment with AI model quality improvements', 'Productionize and launch new AI technology integrations', 'Collaborate with cross-functional teams to deliver product features', 'Stay up-to-date with the latest AI technologies and trends']",['Software and Cloud']
Senior,False,"PhD or Masters in Computer Science, Statistics, or a related field","['Python', 'Scala', 'Java', 'C++', 'C#']","['Recommendation Systems', 'Natural Language Processing', 'Causal Inference', 'Reinforcement Learning']",['Not mentioned'],['Not mentioned'],"['Collaborate with cross-functional teams to develop and implement machine learning algorithms that improve personalization and recommendations.', 'Create scalable, production-ready ML solutions, taking algorithms from initial concept through to deployment.', 'Optimize the performance and scalability of machine learning models for a global member base.', 'Design and conduct offline experiments and A/B tests to validate the impact of algorithmic changes.']",['Entertainment']
Mid-Level,False,B.S. or M.S. (PhD preferred) in a related field,"['Python', 'Scala', 'Java', 'C++']","['Recommendation Systems', 'Deep Learning', 'Predictive Modeling']","['TensorFlow', 'PyTorch', 'Spark', 'HBase', 'Hadoop', 'Iceberg']",['AWS'],"['Develop self-serve user interface layer for Netflix’s MLP', 'Accelerate model development for personalization use cases', 'Engage with ML community to source feedback and identify pain points', 'Partner with OSS Metaflow development community']",['Entertainment']
Early Career,True,Currently enrolled PhD student in the Machine Learning or adjacent Engineering space,['Python'],"['Reinforcement Learning', 'Computer Vision', 'Natural Language Processing', 'Optimization', 'Recommendation Systems']",['Not mentioned'],['Not mentioned'],"['Develop and improve personalization algorithms', 'Contribute to content generation and system optimization', 'Enhance machine learning infrastructure', 'Participate in innovative tooling for artists']",['Entertainment']
Early Career,False,"Bachelor’s or Master's in Computer Science, Software Engineering, Computer Engineering, Electrical Engineering, Mathematics or a related technical field",['Python'],"['Time Series Analysis', 'Anomaly Detection', 'Generative AI']","['TensorFlow', 'PyTorch', 'Ray', 'vLLM']",['Not mentioned'],"['Integrate AI/ML solutions into Splunk products and services', 'Achieve data science and software engineering goals set by you and your mentor', 'Collaborate closely with software engineers, data scientists, and product managers']",['Software and Cloud']
Senior,False,"B.S. (Master’s or PhD preferred) in economics, statistics, mathematics, applied analytics, operation research, meteorology, engineering, or related quantitatively rigorous field","['Python', 'R', 'SAS', 'SQL']","['Time Series Analysis', 'Predictive Modeling', 'Statistical Modeling']","['Git', 'Bitbucket', 'Azure', 'Databricks', 'Excel']",['Azure'],"['Develop long-term Electric Load Forecasts at the system and feeder level using econometric models, time series models, regression analysis, and machine learning models.', 'Perform exploratory analysis of large complex data sets to derive insights and valuable actions.', 'Collaborate with internal stakeholders to ensure forecasts meet their needs and reflect latest information.', 'Provide expert testimony before regulators and defend the forecasts.']",['Energy']
Senior,False,"B.S. (Master’s or PhD preferred) in economics, statistics, mathematics, applied analytics, operation research, meteorology, engineering, or related quantitatively rigorous field","['Python', 'R', 'SQL']","['Time Series Analysis', 'Predictive Modeling', 'Statistical Modeling']","['SAS', 'Git', 'Bitbucket', 'Azure', 'Databricks']",['Azure'],"['Develop long-term Electric Load Forecasts at the system and feeder level using econometric models, time series models, regression analysis, and machine learning models.', 'Perform exploratory analysis of large complex data sets to derive insights and valuable actions.', 'Collaborate with internal stakeholders to ensure forecasts meet the needs of stakeholders and reflect latest information.', 'Provide expert testimony before regulators and defend the forecasts.']",['Energy']
Senior,False,"Bachelor’s degree (Master’s or PhD preferred; work experience preferred for Bachelor’s and Master’s degree) in economics, statistics, mathematics, applied analytics, operation research, meteorology, engineering, or related quantitatively rigorous field.","['Python', 'R', 'SAS', 'SQL']","['Time Series Analysis', 'Predictive Modeling', 'Statistical Modeling']","['Git', 'Bitbucket', 'Azure', 'Databricks', 'Excel']",['Azure'],"['Develop long-term Electric Load Forecasts at the system and feeder level using econometric models, time series models, regression analysis, and machine learning models.', 'Perform exploratory analysis of large complex data sets to derive insights and valuable actions.', 'Collaborate with internal stakeholders to ensure forecasts meet their needs and reflect latest information.', 'Provide expert testimony before regulators and defend the forecasts.']",['Energy']
Early Career,True,"Master’s or PhD degree in Computer Science, Computer Engineering; or equivalent experience","['Python', 'Java', 'C++']","['Statistical Modeling', 'Deep Learning', 'Predictive Modeling', 'Computer Vision', 'Generative AI']","['R', 'Matlab', 'scikit learn']",['Not mentioned'],"['Develop predictive models on large-scale datasets', 'Research and develop CV algorithms/models for GenAI foundation models', 'Collaborate with researchers to bring research ideas to production', 'Optimize, scale up, and deliver end-to-end solutions to production']","['Software and Cloud', 'Advertising']"
Not mentioned,False,"Degree must be in Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science","['SQL', 'R', 'Python', 'Java']","['Statistical Modeling', 'Deep Learning', 'Natural Language Processing']","['TensorFlow', 'PyTorch', 'Hadoop', 'MapReduce', 'Tableau', 'Cognos']","['AWS', 'Azure']","['Develop innovative solutions to address data analytics challenges', 'Collect and process large volumes of data from varying sources', 'Perform data cleansing, transformation, interpretation, and inferencing', 'Communicate data-driven conclusions and recommendations to stakeholders']","['Government', 'Consulting']"
Senior,False,"Expertise in Computer Science, Artificial Intelligence, Machine Learning, or related STEM field","['Python', 'C/C++', 'Java']","['Natural Language Processing', 'Generative AI']","['TensorFlow', 'PyTorch', 'Git']",['Not mentioned'],"['Evaluating Artificial Intelligence function and LLM prompt engineering', 'Supporting AI model optimization', 'Building and deploying state of the art GenAI use cases', 'Building pipelines to consume the various data source for AI services']",['Software and Cloud']
Not mentioned,False,Not mentioned,['Not mentioned'],"['Predictive Modeling', 'Optimization', 'Recommendation Systems']",['Not mentioned'],['Not mentioned'],"['Take ownership of models from research to deployment', 'Build and improve models to predict customer revenue and LTV', 'Develop tools for smarter A/B testing', 'Create models for effective paywall design']",['Software and Cloud']
Early Career,True,"Master’s or PhD degree in Computer Science, Computer Engineering; or equivalent experience","['Python', 'Java']","['Predictive Modeling', 'Statistical Modeling', 'Deep Learning']","['R', 'Matlab', 'scikit learn']",['Not mentioned'],"['Develop predictive models on large-scale datasets to address various business problems', 'Develop and implement scalable, efficient, and interpretable modeling algorithms', 'Collaborate with product management and engineering groups to develop new products and features']","['Software and Cloud', 'Marketing']"
Not mentioned,False,Not mentioned,"['Python', 'Java', 'C++']","['Computer Vision', 'Generative AI', 'Deep Learning']","['Docker', 'PyTorch', 'TensorFlow', 'CUDA']",['AWS'],"['Design and develop systems and reusable frameworks for ML/AI R&D in the multimedia domain.', 'Collaborate with research scientists and business partners to define system requirements.', 'Productionize algorithms and models for studio teams.', 'Champion software engineering best practices within the team.']",['Entertainment']
Not mentioned,False,Bachelor degree or above in the field of computer science or a related technical discipline,"['C++', 'Python']","['Deep Learning', 'Natural Language Processing', 'Computer Vision', 'Recommendation Systems']","['PyTorch', 'Tensorflow']",['Not mentioned'],"['Build industry-leading recommendation system, improving user experience, content ecosystem and platform security', 'Deliver end-to-end machine learning solution to address critical product challenges', 'Own the full stack machine learning system and optimize algorithms and infrastructure to improve recommendation performance', 'Work with cross functional teams to design product strategies and build solutions to grow TikTok in important markets']",['Social Media']
Not mentioned,False,Not mentioned,['SQL'],"['Predictive Modeling', 'Statistical Modeling']","['Airflow', 'dbt', 'Looker', 'Tableau', 'Power BI']",['Not mentioned'],"['Maintain and enhance foundational data pipelines for self-service analytics', 'Automate critical reporting workflows to reduce manual efforts', 'Ensure data pipelines are consistently refreshed with new or seasonal data', 'Collaborate with stakeholders to leverage A/B test reporting frameworks']",['Consulting']
Not mentioned,False,Bachelor’s degree in Computer Science or related fields,"['Java', 'C#', 'Python']","['Deep Learning', 'Predictive Modeling', 'Natural Language Processing']",['Not mentioned'],['Not mentioned'],"['Develop scalable, robust, and highly available micro services to perform statistical analyses and build/deploy machine learning models', 'Implement new features and optimize existing ones to delight our customers', 'Build and maintain highly scalable data pipelines to cleanse, anonymize, measure, and index complex and multi-modal data', 'Lead and engage in design reviews, architectural discussions, requirement definitions and other technical activities']",['Software and Cloud']
Not mentioned,False,Bachelor's or Master's degree (preferably a Computer Science degree or equivalent experience),"['Python', 'Java', 'SQL']","['Deep Learning', 'Natural Language Processing']",['Spark'],"['AWS', 'Databricks']","['Develop and implement cutting edge machine learning algorithms', 'Train models and collaborate with product, engineering, and analytics teams', 'Design system and model architectures', 'Conduct rigorous experimentation and model evaluations']",['Software and Cloud']
Mid-Level,False,Bachelor’s degree preferred in computer science or related field,"['Python', 'R']","['Natural Language Processing', 'Generative AI', 'Statistical Modeling', 'Optimization', 'Graph Machine Learning', 'MLOps']","['Cloud Formation', 'Terraform', 'GitHub actions', 'ArgoCD']",['AWS'],"['Deploy ML, NLP, and other solutions in a production environment at scale', 'Build scalable, reliable, and impactful services for prescriptive analytics', 'Design and implement state-of-the-art machine learning services at scale', 'Develop NLP, ML Ops, and other capabilities for data scientists']",['Consulting']
Mid-Level,False,A degree in Computer Science or a related field,"['Python', 'Scala', 'Java', 'C++', 'C#']","['Reinforcement Learning', 'Deep Learning', 'Recommendation Systems', 'MLOps']","['Spark', 'Flink', 'TensorFlow', 'PyTorch', 'JAX', 'Keras']",['AWS'],"['Design, develop, and scale solutions for machine learning algorithms', 'Collaborate with researchers and data scientists to implement scalable solutions', 'Guide the team towards better software engineering practices', 'Contribute to the next generation of algorithms for the Netflix experience']",['Entertainment']
Not mentioned,False,"Bachelor's degree in Computer Science, Computer Engineering, or other relevant majors","['Go', 'C/C++', 'Python']","['Deep Learning', 'Supervised Learning']",['Not mentioned'],['Not mentioned'],"['Participate in the development of a large-scale Ads system', 'Responsible for the development of state-of-the-art applied machine learning projects', 'Own key targeting components or strategies in the TikTok ads monetization ecosystem', 'Work with product and business teams on product vision']",['Advertising']
Not mentioned,False,"BS, MS, or PhD degree in Computer Science or related field, or equivalent practical experience","['Python', 'R']","['Supervised Learning', 'Unsupervised Learning', 'Deep Learning', 'Statistical Modeling']","['Scikit', 'NLTK', 'Numpy', 'Pandas', 'TensorFlow', 'Keras', 'Spark']",['Not mentioned'],"['Build prototype models alongside data scientists', 'Productionalize prototype models for customer use at scale', 'Enhance model prediction performance or reduce training time', 'Build tools to ease pain points in the data science process']",['Finance']
Mid-Level,False,"Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience","['Python', 'Javascript', 'Hack']","['Recommendation Systems', 'Pattern Recognition', 'Optimization']","['PyTorch', 'TensorFlow']",['Not mentioned'],"['Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models', 'Suggest, collect and synthesize requirements and create effective feature roadmap', 'Code deliverables in tandem with the engineering team', 'Adapt standard machine learning methods to best exploit modern parallel environments']",['Social Media']
Early Career,False,"Graduate degree in a quantitative discipline (or equivalent experience) or will be completed within three months. Highest degree specifically in: Statistics, Mathematics, Physics, Engineering, Computer Science, Economics / Econometrics, Finance, Data Science, Machine Learning, AI, Financial Engineering, Computational Finance, Operational Research, Industrial Engineering.","['Python', 'SQL']","['Supervised Learning', 'Deep Learning', 'Predictive Modeling', 'MLOps']","['AWS SageMaker', 'Snowflake', 'Flask', 'FastAPI', 'SAS']",['AWS'],"['Transform legacy code into robust, high-quality Python code that complies with internal coding standards and includes comprehensive test coverage', 'Build and maintain scalable machine learning pipelines on AWS cloud platforms using SageMaker and Snowflake', 'Assist in deploying machine learning models into production environments, ensuring scalability, reliability, and performance', 'Work closely with data scientists, machine learning engineers, DevOps and InfoSec teams to initiate and manage various releases']",['Automotive']
Not mentioned,False,Not mentioned,"['Python', 'Golang']","['Recommendation Systems', 'Natural Language Processing', 'Deep Learning']","['PyTorch', 'Tensorflow', 'Kubeflow', 'Airflow', 'BigQuery', 'Kafka', 'Redis']",['Not mentioned'],"['Develop and enhance Search Retrievals and Ranking models', 'Design and build pipelines and algorithms for high-quality answers', 'Collaborate with product managers, data scientists, and engineers', 'Develop and test new components in pipelines, deploying ML models']",['Social Media']
Senior,False,"MS or PhD in Computer Science, Electrical Engineering, or a related technical field with a focus on machine learning, artificial intelligence or computer vision",['Python'],"['Supervised Learning', 'Unsupervised Learning', 'Deep Learning', 'Generative AI', 'Natural Language Processing', 'Computer Vision']","['PyTorch', 'Jax']",['Not mentioned'],"['Design, build and optimize ML pipelines for content understanding and media intelligence', 'Develop and deploy large-scale ML models efficiently using Netflix’s ML infrastructure', 'Automate ML workflows for training, tuning and deployment, enabling faster experimentation and productization', 'Collaborate with ML scientists and engineers to integrate multimodal models and embeddings into downstream applications']",['Entertainment']
Mid-Level,False,Not mentioned,['Python'],"['Natural Language Processing', 'Anomaly Detection', 'Time Series Analysis', 'Generative AI', 'Human-Computer Interaction']","['JAX', 'Tensorflow', 'PyTorch']","['AWS', 'Google Cloud', 'Azure']","['Focus on ML, especially LLMs, model performance, security, and robustness.', 'Build out new techniques and tooling in ML model monitoring.', 'Run machine learning experiments independently and in collaboration with product teams.', 'Drive value creation using our product with our customers.']",['Software and Cloud']
Not mentioned,False,"BS, MS, or PhD degree in Computer Science or related field, or equivalent practical experience","['Python', 'R']","['Supervised Learning', 'Unsupervised Learning', 'Deep Learning', 'Statistical Modeling']","['Scikit', 'NLTK', 'Numpy', 'Pandas', 'TensorFlow', 'Keras', 'Spark']",['Not mentioned'],"['Build prototype models alongside data scientists', 'Productionalize prototype models for customer use at scale', 'Enhance model prediction performance or reduce training time', 'Build tools to ease pain points in the data science process']",['Finance']
Early Career,True,"Bachelor's, Master’s or PhD program in Computer Science, or a related technical field",['Python'],['Deep Learning'],"['TensorFlow', 'Kubernetes']",['Google Cloud'],"['Conduct experiments on state-of-the-art machine learning models using TensorFlow', 'Construct and enhance data pipelines for model training and serving using Google Cloud products', 'Build machine learning productivity tools and deploy them in Kubernetes']","['Advertising', 'Software and Cloud']"
Mid-Level,False,"M.S. in Computer Science or related engineering fields, or 3+ years of practical machine learning experience","['Python', 'Scala', 'Java', 'PHP']","['Natural Language Processing', 'Generative AI', 'Predictive Modeling', 'Recommendation Systems']","['scikit-learn', 'PyTorch', 'TensorFlow', 'Spark', 'Kubeflow', 'Airflow']",['Not mentioned'],"['Collaborate in a cross-functional team to prioritize and execute projects that align with our product goals.', 'Leverage experimentation and data to ideate and implement efficient ML solutions.', 'Optimize ML models to meet latency SLAs at Etsy’s scale and launch live A/B tests to validate hypotheses.', 'Build, deploy, test, and maintain scalable ML models by applying cutting-edge research and industry practices.']",['E-commerce']
Senior,False,"M.S. or Ph.D. in Computer Science, Mathematics, or a related field",['Python'],"['Natural Language Processing', 'Deep Learning', 'Generative AI', 'Speech Recognition', 'Computer Vision']","['PyTorch', 'JAX', 'Keras', 'TensorFlow', 'Hugging Face']",['Not mentioned'],"['Explore and implement next-gen LLM technologies, focusing on retrieval-augmented generation (RAG), AI agents, and agentic workflows.', 'Fast prototype innovative concepts and create viable paths to production.', 'Conduct applied ML research and follow the systematic methodology: Establish benchmarking methods, evaluate against baselines, perform ablation studies, and deliver actionable recommendations.', 'Collaborate with system engineers, product managers, and client teams to drive productization.']","['Software and Cloud', 'Telecommunications']"
Early Career,False,"Masters degree in Computer Science, Electrical Engineering, Statistics, or equivalent fields or Bachelor's degree in Computer Science, Electrical Engineering, Statistics, or equivalent fields with one year of relevant work experience.","['Python', 'JavaScript']","['Supervised Learning', 'Unsupervised Learning', 'Self-Supervised Learning', 'Deep Learning', 'Generative AI', 'Reinforcement Learning']","['pandas', 'sklearn', 'tensorflow', 'torch', 'langchain']",['Not mentioned'],"['Designing and deploying Machine Learning algorithms for industrial applications such as predictive maintenance, demand forecasting and process optimization.', 'Collaborating with data and subject matter experts and customer teams to seek, understand, validate, interpret, and correctly use new data elements.', 'Driving adoption and scalability of Generative AI and Deep Learning systems within products.']",['Government']
Not mentioned,False,Not mentioned,"['SQL', 'Python', 'Spark']","['Federated Learning', 'Predictive Modeling']",['Not mentioned'],"['AWS', 'GCP', 'Azure']","['Build integrations with data clean rooms for ads use-cases', 'Enable campaign setup, measurement, targeting, and reporting', 'Work with advertisers and clean room technology providers', 'Implement privacy-preserving techniques']","['Entertainment', 'Advertising']"
Not mentioned,False,Not mentioned,['Python'],"['Supervised Learning', 'Deep Learning', 'MLOps']","['PyTorch', 'Tensorflow', 'Jax', 'HuggingFace', 'TinyML', 'Triton', 'CUDA', 'ROCm', 'Exo', 'MLIR', 'Halide']",['Not mentioned'],"['Automate Data ETL pipelines and deploy machine learning models', 'Scale up model inference and run predictions at scale', 'Design and implement large-scale data and ML pipelines', 'Collaborate with cross-functional teams to create cutting-edge products']",['Software and Cloud']
Not mentioned,False,"Bachelor’s Degree in Engineering, Computer Science, or other related discipline","['Python', 'C++', 'Java', 'GO']","['Deep Learning', 'Computer Vision', 'MLOps']","['Pytorch', 'Tensorflow', 'Sklearn', 'Keras', 'NumPy', 'SciPy', 'Pandas', 'Docker', 'Git']",['Not mentioned'],"['Monitor and maintain fielded AI capabilities', 'Develop new capabilities to enhance ML monitoring and continuous update processes', 'Analyze customer data and assess ML model performance', 'Update ML models and develop new capabilities to address evolving operational requirements']",['Defense']
Mid-Level,False,"PhD or Master’s in Computer Science, Computer Engineering, Computer Vision, Robotics, or a related field—or equivalent experience.",['Python'],"['Generative AI', 'Computer Vision', 'Multimodal Learning']",['PyTorch'],['Not mentioned'],"['Develop and optimize machine learning solutions with cutting-edge architectures.', 'Enhance Firefly’s inferencing pipeline to power generative AI features.', 'Design GPU-optimized, efficient model pipelines for diverse modalities.', 'Ensure scalability and reliability of Firefly’s cloud services.']","['Software and Cloud', 'Advertising']"
Early Career,True,"Currently pursuing a Bachelor's or Master's degree in Computer Science, Data Science, Mathematics, or related technical field","['Python', 'SQL']","['Natural Language Processing', 'Graph Machine Learning', 'Predictive Modeling']","['PyTorch', 'TensorFlow', 'scikit-learn', 'pandas', 'NumPy', 'Apache Spark', 'MLflow']",['Not mentioned'],"['Develop and improve machine learning models for trade classification, entity classification, and entity resolution', 'Implement data preprocessing pipelines and feature engineering techniques', 'Evaluate model performance using appropriate metrics and validation techniques', 'Collaborate with data engineers to integrate ML models into production systems']",['Finance']
Early Career,False,Bachelor’s degree in Computer Science or related fields,"['Java', 'C#', 'Python']","['Supervised Learning', 'Deep Learning', 'Natural Language Processing']","['TensorFlow', 'PyTorch']",['Not mentioned'],"['Develop scalable, robust, and highly available micro services to perform statistical analyses and build/deploy machine learning models', 'Collaborate cross-functionally to define, develop, and deploy new machine learning models', 'Build and maintain highly scalable data pipelines for complex and multi-modal data']",['Software and Cloud']
Not mentioned,False,"BS, MS, or PhD degree in Computer Science or related field, or equivalent practical experience","['Python', 'R']","['Supervised Learning', 'Unsupervised Learning', 'Deep Learning', 'Statistical Modeling']","['Scikit', 'NLTK', 'Numpy', 'Pandas', 'TensorFlow', 'Keras', 'Spark']",['Not mentioned'],"['Build prototype models alongside data scientists', 'Productionalize prototype models for customer use at scale', 'Enhance model prediction performance or reduce training time', 'Build tools to ease pain points in the data science process']",['Finance']
Not mentioned,False,"Bachelor’s Degree in a technical field such as computer science, mathematics, statistics or equivalent years of experience","['Python', 'C++']","['Generative AI', 'Deep Learning', 'Computer Vision']","['PyTorch', 'TensorFlow']",['Not mentioned'],"['Develop innovative machine learning technology and products that serve millions of Snapchatters', 'Work on state of the art GenAI pipelines for image and video generation', 'Deliver generative machine learning experiences on device', 'Build cutting-edge augmented reality experiences using generative and diffusion models']",['Social Media']
Mid-Level,False,"Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience","['Python', 'Javascript', 'Hack']","['Recommendation Systems', 'Pattern Recognition', 'Optimization']","['PyTorch', 'TensorFlow']",['Not mentioned'],"['Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models', 'Adapt standard machine learning methods to best exploit modern parallel environments', 'Code deliverables in tandem with the engineering team']",['Social Media']
